Company / Outreach Account	Brands / Business Units	In Italy?	Locations	Master-fit Themes	Matching Job Titles	Job Links	Role Count	Curricular Evidence	Work Modes	Sources / Portals	Previously Contacted?	Contact Search Status	Contact Name	Contact Role	Contact Email / LinkedIn	Outreach Decision	Notes	Verification Status	Last Checked	First Contact Date	Recall
Lattanzio KIBS Benefit Corporation		Yes	Milan, Lombardy, Italy	Service Design / CX; Consulting / Operations	1. Visiting Junior Consultant	1. https://it.linkedin.com/jobs/view/4457254589	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 82/100; Tirocinio di consulenza su citizen experience, ridisegno di processi e modelli organizzativi della PA.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Avanade		Yes	Milan, Lombardy, Italy	Transformation / Change	1. Organizational Change Management_Intern	1. https://www.avanade.com/en/career/job-details/R00311688 alt. https://it.linkedin.com/jobs/view/4418973888	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 80/100; Designs and delivers change-management, training and internal-communication plans for organisational adoption.	Employer verified active; posting confirmed live on the employer's own careers site	2026-09-17		
Cerved		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Transformation / Change; Consulting / Operations	1. MBS Junior Business Analyst - Intern	1. https://it.linkedin.com/jobs/view/4382588642	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 80/100; Consulenza direzionale su strategie di trasformazione e miglioramento delle performance.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
KIKO MILANO		Yes	Milan, Lombardy, Italy	CRM / Customer Intelligence; Business / Innovation Strategy	1. Consumer & Market Insights Intern	1. https://it.linkedin.com/jobs/view/4459518160	1	To verify	To verify	LinkedIn Jobs	No	Contacted				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 80/100; Consumer & market insights: analisi di mercato e consumatore trasformata in raccomandazioni per il business.	Blocked — employer site behind CAPTCHA/bot wall; portal page verified only	2026-09-17		
papernest		No	Paris, Île-de-France, France; Barcelona, Catalonia, Spain	Business / Innovation Strategy; Consulting / Operations; CRM / Customer Intelligence; Service Design / CX	1. Corporate Strategy Analyst Intern | 2. Strategy & Revenue Analyst Intern - Spanish market | 3. Revenue Growth Strategist Intern | 4. Chief of Staff Intern | 5. Ops Lab & Go-to-Market Intern - FR - BCN | 6. Digital Marketing & CRM Project Intern | 7. Digital Marketing Project Manager - Internship | 8. Strategy & Operations Analyst Intern - Paris	1. https://it.linkedin.com/jobs/view/4461552219 | 2. https://it.linkedin.com/jobs/view/4457351555 | 3. https://it.linkedin.com/jobs/view/4457330578 | 4. https://it.linkedin.com/jobs/view/4458221499 | 5. https://it.linkedin.com/jobs/view/4458755600 | 6. https://it.linkedin.com/jobs/view/4457395972 | 7. https://it.linkedin.com/jobs/view/4467744519 | 8. https://it.linkedin.com/jobs/view/4458290413	8	curricular	hybrid | onsite	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 8 new role(s). 1. [pertinente] Match score: 80/100; Corporate strategy internship doing market/competitive analysis, business plan and recommendations for top management. 2. [pertinente] Match score: 74/100; Strategy & revenue internship with offering/portfolio analysis, opportunity identification and business recommendations. 3. [pertinente] Match score: 74/100; Revenue growth internship analysing offer strategy, funnels and market trends into actionable recommendations. 4. [pertinente] Match score: 72/100; Chief of Staff internship with real strategic analysis and recommendations, alongside executive coordination and comms. 5. [pertinente] Match score: 72/100; Innovation-lab internship: idea collection, prioritisation, real-life testing, results analysis and scaling. 6. [pertinente] Match score: 70/100; CRM/lifecycle internship designing multichannel customer journeys and turning test analyses into actionable recommendations. 7. [pertinente] Match score: 70/100; CRM/lifecycle internship designing multichannel customer journeys and turning test analyses into actionable recommendations. 8. [adiacente] Match score: 55/100; Strategy & ops internship in a new-business team, but responsibilities are stated only at a very high level.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Siemens		No	Munich, Bavaria, Germany	Business / Innovation Strategy; Consulting / Operations; Transformation / Change	1. Strategy Consulting Intern (f/m/d) - Start dates: October-March	1. https://it.linkedin.com/jobs/view/4429247906	1	curricular	onsite	LinkedIn Jobs	Yes	Contacted				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 80/100; Siemens Advanta consulting internship on market/competitor analysis, strategy roadmaps and client workshops.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Altman Solon		No	Munich, Bavaria, Germany	Business / Innovation Strategy; Consulting / Operations	1. Strategy Consulting Intern TMT (m/f/d)	1. https://it.linkedin.com/jobs/view/4354477035	1	curricular	onsite	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 78/100; Strategy consulting internship doing market research and strategic analysis on client projects.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
AXA Italia		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Transformation / Change	1. Stage Strategy | 2. Stage Project Manager GenAI	1. https://careers.axa.com/careers-home/jobs/27393 alt. https://it.linkedin.com/jobs/view/4467753574 | 2. https://it.linkedin.com/jobs/view/4458763741	2	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [pertinente] Match score: 78/100; Strategy office doing scenario, market and competitor analysis and strategic-project support. 2. [adiacente] Match score: 55/100; Runs the innovation programme from idea generation to demand plus GenAI change management, but the intern bullets are document updates and materials.	Employer verified active; posting confirmed live on the employer's own careers site	2026-09-17		
BMW Group		No	Munich, Bavaria, Germany	Business / Innovation Strategy	1. Intern Innovation Strategy Mobility (f/m/x)	1. https://it.linkedin.com/jobs/view/4465998520	1	curricular	hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 78/100; Innovation strategy internship tracking trends and building strategic fields of action for mobility.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Capgemini		No	Utrecht, Utrecht, Netherlands; Issy-les-Moulineaux, Île-de-France, France	Transformation / Change; Business / Innovation Strategy; Consulting / Operations	1. Meewerkstage Enterprise Model & Strategy - NL | 2. Consultante / Consultant Entreprise Transformation - Stage	1. https://it.linkedin.com/jobs/view/4456255196 | 2. https://it.linkedin.com/jobs/view/4462865286	2	curricular	hybrid | onsite	LinkedIn Jobs	Yes	Contacted				Review	[UPDATE EXISTING ROW] 2 new role(s). 1. [pertinente] Match score: 78/100; Werkstage on internal org redesign, strategic analyses and facilitating workshops/MT sessions - genuine organisational change work. 2. [pertinente] Match score: 76/100; Stage de fin d'études in entreprise transformation: interviews, co-construction workshops and strategic recommendations.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
IKEA		Yes	Carugate, Lombardy, Italy	Service Design / CX; Consulting / Operations	1. Stage Customer Experience B2B - IKEA Store	1. https://jobs.ikea.com/pt-br/vaga/carugate/stage-customer-experience-b2b-ikea-store/24107/100632528448 alt. https://it.linkedin.com/jobs/view/4465779727	1	To verify	onsite	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 78/100; Sviluppo di nuovi servizi e modalità di servizio per clienti B2B con analisi delle criticità post-vendita: esperienza e servizio al centro.	Employer verified active; posting confirmed live on the employer's own careers site	2026-09-17		
PwC Italy		Yes	Milan, Lombardy, Italy	Transformation / Change; Business / Innovation Strategy; CRM / Customer Intelligence; Consulting / Operations; Product / UX	1. Advisory Intern – Operating Model Transformation FS - Milano | 2. Innovation Management - Intern - Milano [DIG] | 3. Business & Technology Junior Consultant - Milano - INTERNSHIP | 4. Digital Transformation Intern - Milano [DIG] | 5. Strategy& / Corporate & Business Strategy Intern - Milan | 6. Intern Consultant Programm&Business PMO - Milano | 7. IT Project Management - INTERNSHIP - Milano | 8. Web Designer Stage - Milano [IFS] | 9. Business & Technology Consultant (Financial Services) – INTERNSHIP – Milano [ADV] | 10. GenAI Adoption Intern - Milano [DIG]	1. https://it.linkedin.com/jobs/view/4432404587 | 2. https://it.linkedin.com/jobs/view/4410096529 | 3. https://it.linkedin.com/jobs/view/4266637618 | 4. https://it.linkedin.com/jobs/view/4449019386 | 5. https://it.linkedin.com/jobs/view/4439323390 | 6. https://it.linkedin.com/jobs/view/4436380432 | 7. https://it.linkedin.com/jobs/view/4266635984 | 8. https://it.linkedin.com/jobs/view/4464335096 | 9. https://it.linkedin.com/jobs/view/4428358385 | 10. https://it.linkedin.com/jobs/view/4333857414	10	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 10 new role(s). 1. [pertinente] Match score: 78/100; Target operating model and process redesign with change management for banking operations. 2. [pertinente] Match score: 75/100; Market trend analysis, opportunity identification and consumer segmentation feeding business strategy. 3. [pertinente] Match score: 72/100; As-is operating-model analysis, redesign, design workshops and transformation roadmaps, with explicit design thinking. 4. [pertinente] Match score: 68/100; Process analysis via interviews and workshops plus identification of digitalisation/automation opportunities. 5. [pertinente] Match score: 55/100; Strategy consulting internship: market trend analysis, performance assessment and recommendations, though stated generically. 6. [adiacente] Match score: 52/100; Detailed process analysis and efficiency-opportunity identification, framed as PMO support for banking transformation. 7. [adiacente] Match score: 45/100; PMO and project-management delivery support on digital transformation programmes. 8. [adiacente] Match score: 45/100; Web content/layout production with usability review and requirements support, but no research, flows or prototype testing. 9. [adiacente] Match score: 42/100; Process reengineering carried out inside a mainly IT-architecture, governance and compliance scope. 10. [adiacente] Match score: 42/100; Adoption and change enablement for GenAI, but no concrete activities are listed beyond the mission statement.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Revolut		No	Spain	Product / UX; Business / Innovation Strategy	1. Internship Programme 2027: Product Owner (UX)	1. https://it.linkedin.com/jobs/view/4418826646	1	curricular	hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 78/100; Product Owner (UX) internship: product strategy support, user feedback/market analysis, user testing and iteration.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Sia		Mixed	Paris, Île-de-France, France; Milan, Lombardy, Italy	Transformation / Change; Business / Innovation Strategy; Consulting / Operations	1. Final Year Internship Consultant - Transport, Manufacturing & Retail | 2. Stage - Consultant IT & Digital Transformation	1. https://it.linkedin.com/jobs/view/4465697490 | 2. https://it.linkedin.com/jobs/view/4464355776	2	curricular	onsite	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 2 new role(s). 1. [pertinente] Match score: 78/100; Final-year consulting internship covering organisational transformation, process redesign and change management. 2. [adiacente] Match score: 40/100; IT-advisory consulting delivery whose stated tasks are deliverables, minutes, data analysis and proposal support.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Wavestone		No	Puteaux, Île-de-France, France; Paris, Île-de-France, France	Transformation / Change; Business / Innovation Strategy; Consulting / Operations	1. AI Strategy & Business Transformation - Stage de fin d'études (H/F) | 2. AI Strategy & Business Transformation - Stage de fin d'études (H/F) | 3. AI Strategy and Governance - Stage de fin d'études (H/F)	1. https://it.linkedin.com/jobs/view/4465224280 | 2. https://it.linkedin.com/jobs/view/4462186444 | 3. https://it.linkedin.com/jobs/view/4465218337	3	curricular	hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 3 new role(s). 1. [pertinente] Match score: 76/100; AI-for-business-transformation consulting stage: use-case prioritisation, process redesign and change/adoption. 2. [pertinente] Match score: 76/100; AI & business transformation stage: opportunity identification, transformation roadmaps, change and adoption. 3. [pertinente] Match score: 76/100; AI strategy & governance stage: strategic studies, framing workshops, use-case analysis, transformation roadmaps.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Banca Mediolanum		Yes	Basiglio, Lombardy, Italy	Service Design / CX; CRM / Customer Intelligence	1. Stage Market Research	1. https://it.linkedin.com/jobs/view/4441338465	1	To verify	hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 75/100; Designs research projects and questionnaires, analyses results and presents customer insight to stakeholders.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Be | Shaping the Future		Yes	Milan, Lombardy, Italy	Transformation / Change; Business / Innovation Strategy; Consulting / Operations	1. Neolaureati/e / Economia, Finanza, Ingegneria (Internship - Milano) | 2. Neolaureati/e / Consulting - Digital Banking & Payments (Internship - Milano)	1. https://it.linkedin.com/jobs/view/4462145793 | 2. https://it.linkedin.com/jobs/view/4458719916	2	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [pertinente] Match score: 75/100; As-is/to-be assessment, process reengineering and transformation roadmap for financial-services clients. 2. [adiacente] Match score: 52/100; Business-requirements gathering for banking process digitalisation, delivered largely as Excel/PowerPoint analysis.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Kirey		Yes	Milan, Lombardy, Italy	Consulting / Operations; Business / Innovation Strategy	1. Junior Business Analyst kirey Advisory - Internship	1. https://it.linkedin.com/jobs/view/4443933260	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 75/100; Consulenza direzionale in stage: mappatura processi, modelli organizzativi, business case e benchmarking.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Medtronic		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy	1. Tirocinio extracurriculare: Enterprise Account Intern	1. https://it.linkedin.com/jobs/view/4464987668	1	extracurricular	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 75/100; Market/organisation analysis, account planning and new-account evaluation feeding strategic initiatives.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Accenture Italia		Yes	Milan, Lombardy, Italy	Transformation / Change; Consulting / Operations; Product / UX; Service Design / CX; Business / Innovation Strategy	1. Intellera Public Service Local - Digital Transformation Intern | 2. Stage in area Accenture Song | 3. Talent Transformation Analyst - Intern | 4. Innovation Analyst Internship | 5. Tech Intern - Accenture Customer Innovation Network	1. https://it.linkedin.com/jobs/view/4419336461 | 2. https://it.linkedin.com/jobs/view/4461997219 | 3. https://it.linkedin.com/jobs/view/4466104197 | 4. https://it.linkedin.com/jobs/view/4328079505 | 5. https://it.linkedin.com/jobs/view/4414400002	5	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[HISTORY TO VERIFY] 5 new role(s). 1. [pertinente] Match score: 72/100; As-is/to-be process reengineering, requirements and change management for public services; a share is IT governance/compliance. 2. [adiacente] Match score: 58/100; User interviews and UX/UI work sit alongside graphic asset production and media campaign optimisation. 3. [adiacente] Match score: 58/100; HR-process design and change-management phases are relevant, but the vehicle is SAP/Oracle HCM configuration. 4. [adiacente] Match score: 50/100; Open-innovation/scouting work touches opportunity identification but the base is industrial tech scouting, not design method. 5. [adiacente] Match score: 50/100; Tech-trend research and innovation ideation support, largely analysis and reports rather than defined design work. The Accenture Song posting R00256177_it now redirects to the Italian job search page; removed on the employer side.	Portal verified; To verify — employer page removed, one role closed	2026-09-17		
Bending Spoons		Yes	Milan, Lombardy, Italy	Product / UX; Business / Innovation Strategy	1. Growth manager, summer intern | 2. Product manager, summer intern	1. https://it.linkedin.com/jobs/view/4466573025 | 2. https://it.linkedin.com/jobs/view/4466565146	2	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [pertinente] Match score: 72/100; Product growth internship built on user research, opportunity framing and experiment-driven iteration. 2. [pertinente] Match score: 72/100; Product-manager internship covering user research, insight synthesis, experimentation and end-to-end product iteration.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
GLS Italy		Yes	San Giuliano Milanese, Lombardy, Italy	Transformation / Change; Consulting / Operations	1. Operations Transformation & Analytics Intern	1. https://it.linkedin.com/jobs/view/4450300751	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 72/100; Progetti di trasformazione operativa dalla definizione dello scope alla delivery, con analisi di processo e KPI.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Intercos Group		Yes	Agrate Brianza, Lombardy, Italy; Olgiate Comasco, Lombardy, Italy	Business / Innovation Strategy; Transformation / Change; Product / UX	1. Internship Innovation Project Manager | 2. Internship Product Development Body, Personal Care, Fragrance, Ancillaries	1. https://it.linkedin.com/jobs/view/4461752655 | 2. https://it.linkedin.com/jobs/view/4457943106	2	To verify	onsite	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [pertinente] Match score: 72/100; Gestione del processo di innovazione con workshop, roadmap e business case in contesto cross-funzionale. 2. [adiacente] Match score: 38/100; Sviluppo prodotto cosmetico tecnico (texture, packaging, documentazione) con solo una componente di analisi trend/mercato.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
